Receipt ID,File name,Receipt Format,Phone Model,Image Quality of Photo,Receipt Condition in Photo,Angle of receipt in Photo,Vendor Name Printed in Receipt,Format of Vendor Name in Receipt,Vendor that Issued the Receipt,Vendor Type,Extracted Vendor Name,Does Extracted Vendor Name contain additional characters apart from the Original Vendor Name?,Extracted Date,Does the Extracted Date match the date in Receipt?,Date Printed in Receipt,Are Items Extracted?,No. of Unique Items in Receipt,Language used in Receipt?,Extracted Item Count
443979fe-6ebf-4177-b0a3-77eb0facd0ac,receipt5_C.jpg,Physical,"iPhone 13 Pro, iOS version 18.6.2",Clear,Crumpled,Levelled,woolworths,Text,Woolworths,Groceries,woolworths,N,27/2/2025,Y,27/2/2025,Y,11,English,11
60e14017-1d90-4578-8f4e-d070a4fbcd2a,receipt5_G.jpg,Physical,"Google Pixel 7 Pro, Android version 16",Clear,Folded,Skewed,IKEA,Logo,IKEA,Home & Cleaning,R\nIKEA,Y,24/6/2025,Y,24/6/2025,Y,3,English,3
b6772e11-99d5-4102-a85e-45d36d0d4dbe,receipt5_J.jpg,E-receipt,NA,NA,NA,NA,Unknown,Logo,Woolworths,Groceries,WOOLWORTHS GROUP LIMITED,N,8/12/2025,Y,12/8/2025,Y,4,English,4
6e38d556-b1be-4118-a40f-c8e36345043d,receipt5_S.jpg,Physical,"Samsung Galaxy A52, Android version 14",Blurred,Crumpled,Levelled,metro,Logo,Woolworths Metro,Groceries,metro,N,30/8/2025,Y,30/8/2025,Y,4,English,4
dd5d184c-d5d6-49e7-8db3-58f17c6b0ade,receipt6_C.jpg,Physical,"iPhone 13 Pro, iOS version 18.6.2",Clear,Folded,Skewed,Chemist Warehouse Spencer Outlet Centre,Logo,Chemist Warehouse,Pharmacy,CHEMIST\nW A R HOUSE,Y,21-Aug-25,Y,21-Aug-25,Y,1,English,1
8ffb2ea8-2265-4e5b-b67e-6927d58e2902,receipt6_G.jpg,Physical,"Google Pixel 7 Pro, Android version 16",Clear,Folded,Skewed,JB HIFI,Logo,JB HIFI,Electronics & Tech,JBHI-FI,N,4/7/2025,Y,7/4/2025,Y,1,English,1
227f4f88-c699-4a7d-b163-d23cf3766580,receipt6_J.jpg,E-receipt,NA,NA,NA,NA,Unknown,Logo,Woolworths,Groceries,WOOLWORTHS GROUP LIMITED,N,19/6/2025,Y,19/6/2025,Y,6,English,6
0e667d21-ac60-4dee-8904-2ba7b2ea196b,receipt6_S.jpg,Physical,"Samsung Galaxy A52, Android version 14",Clear,Flat,Levelled,metro,Logo,Woolworths Metro,Groceries,metro,N,9/11/2025,Y,11/9/2025,Y,2,English,2
a5eb9b11-beb9-4054-a44c-8d5b5861240d,receipt7_C.jpg,Physical,"iPhone 13 Pro, iOS version 18.6.2",Blurred,Folded,Skewed,Subway#29334-0,Text,Subway,Eating out & takeaway,Unknown,NA,4/10/2025,Y,10/4/2025,Y,3,English,3
1621bc0e-aa6b-46dc-97ea-52b834cfef2a,receipt7_G.jpg,Physical,"Google Pixel 7 Pro, Android version 16",Blurred,Flat,Skewed,TGI Fridays Melbourne,Text,TGI Fridays,Eating out & takeaway,TGI Fridays Melbourne,N,26/8/2025,Y,26/8/2025,Y,4,English,4
64619608-7cec-4c1f-8388-0638691bfa74,receipt7_J.jpg,E-receipt,NA,NA,NA,NA,Unknown,Logo,Woolworths,Groceries,WOOLWORTHS GROUP LIMITED,N,27/7/2025,Y,27/7/2025,Y,5,English,5
90d54da0-ff1f-4fef-af65-07f2249d85d8,receipt7_S.jpg,Physical,"Samsung Galaxy A52, Android version 14",Clear,Crumpled,Levelled,coles,Logo,Coles,Groceries,coles,N,14/8/2025,Y,14/8/2025,Y,2,English,2
f46d282d-9e2a-4101-881a-ce9120b84e9b,receipt8_C.jpg,Physical,"iPhone 13 Pro, iOS version 18.6.2",Clear,Folded,Skewed,BIGW,Logo,BIGW,Department Store,BIGW,N,20/5/2025,Y,20/5/2025,Y,3,English,3
1fabc5a7-421c-4649-8065-29ca47fc3da4,receipt8_G.png,E-receipt,NA,NA,NA,NA,Kare,Text,Kare,Eating out & takeaway,THE\nVictoria\nS,Y,"""05/07/2025,""",Y,5/7/2025,Y,3,English,3
7e6bc934-c40e-4612-bb4c-58449e723749,receipt8_J.jpg,E-receipt,NA,NA,NA,NA,Unknown,Logo,Woolworths,Groceries,WOOLWORTHS GROUP LIMITED,N,29/7/2025,Y,29/7/2025,Y,2,English,2
1a06aef5-73ed-4468-bac7-8212192c0a90,receipt8_S.jpg,Physical,"Samsung Galaxy A52, Android version 14",Blurred,Crumpled,Levelled,coles,Logo,Coles,Groceries,coles,N,26/8/2025,Y,26/8/2025,Y,1,English,1
862ce901-6b8f-4696-843f-8e62f5107f28,receipt9_C.jpg,Physical,"iPhone 13 Pro, iOS version 18.6.2",Clear,Flat,Levelled,Typo,Logo,Typo,Stationery & Office,Typo,N,12-May-25,Y,Mon 12 May 2025,Y,1,English,1
1c0480d4-d351-4631-a488-dd91960edbbf,receipt9_G.jpg,Physical,"Google Pixel 7 Pro, Android version 16",Clear,Flat,Skewed,LUPICIA Fresh Tea,Text,LUPICIA Fresh Tea,Eating out & takeaway,Australia Pty Ltd.\nL'Epicier,Y,9/9/2025,Y,9/9/2025,Y,1,English,1
ed2c29bb-fab9-4b32-9aaf-ffb7500d6443,receipt9_J.jpg,E-receipt,NA,NA,NA,NA,Unknown,Logo,Woolworths,Groceries,WOOLWORTHS GROUP LIMITED,N,30/7/2025,Y,30/7/2025,Y,2,English,2
eff7ef5f-156d-4394-8f71-890a844742b8,receipt9_S.jpg,Physical,"Samsung Galaxy A52, Android version 14",Blurred,Flat,Levelled,coles,Logo,Coles,Groceries,coles,N,20/8/2025,Y,20/8/2025,Y,1,English,1
